L1,L2,C,R
5.000000e-09,3.755939e-10,1.045244e-12,5.000000e-01
5.359791e-10,4.017678e-10,4.700000e-13,5.000000e-01
5.000000e-09,4.743502e-10,7.093377e-13,5.000000e-01
3.324329e-09,3.433482e-10,7.459807e-13,5.000000e-01
5.000000e-09,5.647723e-10,1.193746e-12,5.000000e-01
5.055683e-10,8.822799e-10,4.700310e-13,5.000000e-01
5.000000e-09,1.002455e-10,8.103848e-13,5.000000e-01
5.000000e-09,3.149350e-10,7.145223e-13,5.000000e-01
5.000000e-09,4.534496e-10,8.712271e-13,5.000000e-01
4.143596e-09,5.214284e-10,8.700384e-13,5.000000e-01
5.000000e-09,1.206617e-10,7.429499e-13,5.000000e-01
3.074096e-09,7.094813e-10,6.577046e-13,5.000000e-01
5.000000e-09,3.560700e-10,9.197435e-13,5.000000e-01
2.015974e-09,1.014260e-10,4.974747e-13,5.000000e-01
4.815128e-09,4.386449e-10,9.238491e-13,5.000000e-01
5.000000e-09,2.357060e-10,8.225889e-13,5.000000e-01
5.000000e-09,3.134026e-10,1.107982e-12,5.000000e-01
3.915010e-09,4.242517e-10,5.764189e-13,5.000000e-01
